POFF'S POWER SOLUTIONS — 2026 OPERATIONS REPORT
Generated:,May 12 2026
Client ID:,1013
Database:,commonNE
,,
,,
=== AR AGING SUMMARY (All-Time Unpaid) ===,,
Aging Bucket,Order Count,Amount Due
0–30 Days,1,$6160
31–60 Days,0,$0
61–90 Days,0,$0
90+ Days,42,$202868
TOTAL OUTSTANDING,43,$209028
,,
,,
=== MONTHLY AR BREAKDOWN (2026) ===,,
Month,Total Orders,Total Invoiced,Outstanding,Unpaid Orders
January,90,20181,0,0
February,62,85088,0,0
March,123,85751,0,0
April,425,444865,0,0
May (partial),57,151930,6160,1
TOTAL,757,787814,6160,1
,,
,,
=== WIP STATUS BREAKDOWN (2026) ===,,
Status,Order Count,Total Value,Avg Value,Category
Delivered,386,490173,1270,Done
Complete,253,0,0,Done
Canceled,51,107733,2112,Closed
Assigned,24,39956,1665,Active
In-Field,13,18584,1430,Active
Checking,12,13583,1132,Active
Quote,5,107285,21457,Pipeline
Under Review,5,6480,1296,Active
Crew Completed,4,3576,894,Done
Go Back,2,443,222,Active
,,
,,
=== EMPLOYEE INTERACTIONS (Trackflow 2026) ===,,,
Employee,Total Interactions,Unique Orders
Colton_M,648,173
Willy,460,165
Ashton_I,309,114
Anusha_D,246,39
Matthew_H,83,56
Chris_S,60,33
TX_Shop,20,13
Poffs_Power_Solutions,20,5
Tech_Team,4,1
Palmer_M,1,1
prateek,1,1
,,
,,
=== MONTHLY WORKFLOW ACTIVITY (Trackflow 2026) ===,,,
Month,Field Actions,Account Actions,Emails,Total
January,240,58,3,301
February,289,19,18,326
March,538,20,17,575
April,531,40,9,582
May (partial),59,9,0,68
TOTAL,1657,146,47,1852
,,
,,
=== OUTSTANDING AR DETAIL (Invoiced & Unpaid) ===,,,,
Order #,Property Address,City,State,Invoice Date,Amount Due,Days Outstanding,Status,Aging Bucket
1013-9670,Midland TX USA,Midland,TX,2026-05-06,6160,4,In-Field,0-30 Days
1013-2931,El Reno OK USA,El Reno,OK,2022-11-21,24000,1266,Canceled,90+ Days
1013-4434,13568 58th Street NW,Williston,ND,2023-03-09,100,1158,Complete,90+ Days
1013-5170,North Dakota,—,ND,2023-06-21,1500,1054,Canceled,90+ Days
1013-5171,North Dakota,—,ND,2023-06-21,1500,1054,Canceled,90+ Days
1013-5172,North Dakota,—,ND,2023-06-21,1500,1054,Canceled,90+ Days
1013-5284,5028 Bennett Industrial Dr,Williston,ND,2023-07-09,500,1036,Canceled,90+ Days
1013-5319,Williston ND,Williston,ND,2023-07-09,500,1036,Canceled,90+ Days
1013-4495,Mentone TX,Mentone,TX,2023-07-17,11060,1028,Canceled,90+ Days
1013-4452,Mentone TX,Mentone,TX,2023-07-17,13889,1028,Canceled,90+ Days
1013-5333,Midland TX,Midland,TX,2023-07-18,684,1027,Canceled,90+ Days
1013-5570,Testaccio Rome Italy,Rome,Italy,2023-10-08,300,945,Canceled,90+ Days
1013-5488,Voltagrid W County Rd 133,Midland,TX,2023-10-23,29415,930,Canceled,90+ Days
1013-5100,Midland,Midland,TX,2023-10-29,3793,924,Canceled,90+ Days
1013-5132,Midland,Midland,TX,2023-10-29,8747,924,Canceled,90+ Days
1013-5188,Midland,Midland,TX,2023-10-29,3221,924,Canceled,90+ Days
1013-5234,Midland,Midland,TX,2023-10-29,2321,924,Canceled,90+ Days
1013-5231,Midland,Midland,TX,2023-10-29,2321,924,Canceled,90+ Days
1013-5154,Midland,Midland,TX,2023-10-29,2320,924,Canceled,90+ Days
1013-5187,Midland,Midland,TX,2023-10-29,2008,924,Canceled,90+ Days
1013-5236,Midland,Midland,TX,2023-10-29,1964,924,Canceled,90+ Days
1013-5162,Midland,Midland,TX,2023-10-29,1874,924,Canceled,90+ Days
1013-5102,Midland,Midland,TX,2023-10-29,3838,924,Canceled,90+ Days
1013-5238,Midland,Midland,TX,2023-10-29,1428,924,Canceled,90+ Days
1013-5099,Midland,Midland,TX,2023-10-29,1428,924,Canceled,90+ Days
1013-5233,Midland,Midland,TX,2023-10-29,982,924,Canceled,90+ Days
1013-5232,Midland,Midland,TX,2023-10-29,893,924,Canceled,90+ Days
1013-5230,Midland,Midland,TX,2023-10-29,893,924,Canceled,90+ Days
1013-5130,Midland TX,Midland,TX,2023-10-29,848,924,Canceled,90+ Days
1013-5036,5900 S County Rd 1235,Midland,TX,2023-10-29,759,924,Canceled,90+ Days
1013-5364,Midland TX,Midland,TX,2023-10-29,718,924,Canceled,90+ Days
1013-5237,Midland,Midland,TX,2023-10-29,714,924,Canceled,90+ Days
1013-5207,Midland,Midland,TX,2023-10-29,714,924,Canceled,90+ Days
1013-5239,Midland,Midland,TX,2023-10-29,536,924,Canceled,90+ Days
1013-5160,Midland,Midland,TX,2023-10-29,268,924,Canceled,90+ Days
1013-5153,Midland,Midland,TX,2023-10-29,89,924,Canceled,90+ Days
1013-6325,Midland TX,Midland,TX,2024-03-20,30,781,Canceled,90+ Days
1013-6763,Midland TX,Midland,TX,2024-07-04,4981,675,Canceled,90+ Days
1013-6765,—,—,—,2024-10-06,1,581,Canceled,90+ Days
1013-7405,—,—,—,2024-11-08,525,548,Canceled,90+ Days
1013-7718,5088 4880 East,Vernal,UT,2025-01-31,61160,464,Canceled,90+ Days
1013-8907,Williston ND,Williston,ND,2025-09-18,8400,234,Canceled,90+ Days
1013-8914,Pratt KS,Pratt,KS,2025-09-19,149,233,Canceled,90+ Days
